epoch,step,train_loss
0,49,-2.0172345638275146
1,99,-2.7915499210357666
2,149,-3.1080565452575684
3,199,-3.1974968910217285
4,249,-3.1992056369781494
5,299,-3.257185697555542
6,349,-3.3496580123901367
7,399,-3.370211124420166
8,449,-3.419847011566162
9,499,-3.4277212619781494
